SCINAME,SCINAME,years_fall,years_spring,SVSPP,ITISSPP,COMNAME,AUTHOR,order,order_common,type,depth_profile
PENAEUS.,PENAEUS ,27,21,307,95603,SHRIMP (PINK -BROWN - WHITE),NA,decapods,decapods,invert,pelagic
PEPRILUS.TRIACANTHUS,PEPRILUS TRIACANTHUS,34,34,131,172567,BUTTERFISH,"(Peck, 1804)",perciformes,perch like,fish,pelagic
PERISTEDION.MINIATUM,PERISTEDION MINIATUM,31,30,173,167010,ARMORED SEAROBIN,"Goode, 1880",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
PLACOPECTEN.MAGELLANICUS,PLACOPECTEN MAGELLANICUS,34,34,401,79718,SEA SCALLOP,"(Gmelin, 1791)",pectinida,mollusks and bivalves,invert,benthic
POLLACHIUS.VIRENS,POLLACHIUS VIRENS,34,34,75,164727,POLLOCK,"(Linnaeus, 1758)",gadiformes,cods and allies,fish,demersal
POLYMIXIA.LOWEI,POLYMIXIA LOWEI,30,31,263,166126,BEARDFISH,"Guenther, 1859",polymixiiformes ,beardfishes,fish,demersal
POMATOMUS.SALTATRIX,POMATOMUS SALTATRIX,33,32,135,168559,BLUEFISH,"(Linnaeus, 1766)",perciformes,perch like,fish,pelagic
PORTUNIDAE,PORTUNIDAE,27,21,320,98689,SWIMMING CRAB UNCL,"Rafinesque, 1815",decapods,decapods,invert,demersal
PRIONOTUS.CAROLINUS,PRIONOTUS CAROLINUS,34,34,171,166974,NORTHERN SEAROBIN,"(Linnaeus, 1771)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
PRIONOTUS.EVOLANS,PRIONOTUS EVOLANS,34,34,172,166975,STRIPED SEAROBIN,"(Linnaeus, 1766)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
PSEUDOPLEURONECTES.AMERICANUS.,PSEUDOPLEURONECTES AMERICANUS ,34,34,106,172905,WINTER FLOUNDER,NA,pleuronectiformes,flatfishes,fish,benthic
RAJA.EGLANTERIA,RAJA EGLANTERIA,33,34,24,160855,CLEARNOSE SKATE,"Bosc, 1800",rajiformes,rays,fish,demersal
SCOMBER.SCOMBRUS,SCOMBER SCOMBRUS,34,34,121,172414,ATLANTIC MACKEREL,"Linnaeus, 1758", scombriformes,mackerels,fish,pelagic
SCOPHTHALMUS.AQUOSUS,SCOPHTHALMUS AQUOSUS,34,34,108,172746,WINDOWPANE,"(Mitchill, 1815)",pleuronectiformes,flatfishes,fish,benthic
SCORPAENIDAE,SCORPAENIDAE,23,22,759,166704,SCORPIONFISH AND ROCKFISH UNCL,NA,scorpaeniformes,scorpionfishes and flatheads,fish,demersal
SCYLIORHINUS.RETIFER,SCYLIORHINUS RETIFER,34,34,14,160060,CHAIN DOGFISH,"(Garman, 1881)",carcharhiniformes,ground sharks ,fish,demersal
SEBASTES.FASCIATUS,SEBASTES FASCIATUS,34,34,155,166774,ACADIAN REDFISH,"Storer, 1854",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
SEPIOLIDAE,SEPIOLIDAE,24,23,506,82335,BOBTAIL UNCL,"Leach, 1817",cephalopod,cephalopod,invert,pelagic
SICYONIA.BREVIROSTRIS,SICYONIA BREVIROSTRIS,29,20,316,96028,BROWN ROCK SHRIMP,"Stimpson, 1871",decapods,decapods,invert,pelagic
SPHOEROIDES.MACULATUS,SPHOEROIDES MACULATUS,33,20,196,173290,NORTHERN PUFFER,"(Bloch and Schneider, 1801)",tetraodontiformes,tetraodontiformes,fish,demersal
SQUALUS.ACANTHIAS,SQUALUS ACANTHIAS,34,34,15,160617,SPINY DOGFISH,"Linnaeus, 1758",squaliformes,squaliformes,fish,demersal
SQUATINA.DUMERIL,SQUATINA DUMERIL,33,33,16,160787,ATLANTIC ANGEL SHARK,"Lesueur, 1818",squantiniformes,angel sharks,fish,demersal
STENOTOMUS.CHRYSOPS,STENOTOMUS CHRYSOPS,34,34,143,169182,SCUP,"(Linnaeus, 1766)",perciformes,perch like,fish,demersal
STERNOPTYCHIDAE,STERNOPTYCHIDAE,23,17,252,162212,HATCHETFISH UNCL,NA,stomiiformes,lightfishes and dragonfishes,unclassified,demersal
SYACIUM.PAPILLOSUM,SYACIUM PAPILLOSUM,24,17,793,172793,DUSKY FLOUNDER,"(Linnaeus, 1758)",pleuronectiformes,flatfishes,fish,demersal
SYMPHURUS.,SYMPHURUS ,29,28,221,173061,STRAIGHTMOUTH TONGUEFISHES,NA,pleuronectiformes,flatfishes,fish,demersal
SYNAGROPS.BELLUS,SYNAGROPS BELLUS,27,18,114,168335,BLACKMOUTH BASS,"Goode and Bean, 1896)",perciformes,perch like,fish,demersal
SYNGNATHIDAE,SYNGNATHIDAE,23,24,421,166443,PIPEFISH SEAHORSE UNCL,NA,,,unclassified,
SYNGNATHUS.FUSCUS,SYNGNATHUS FUSCUS,22,27,116,166451,NORTHERN PIPEFISH,"Storer, 1839",syngnathiformes,pipefishes and seahorses,fish,demersal
SYNODUS.FOETENS,SYNODUS FOETENS,33,26,435,162376,INSHORE LIZARDFISH,"(Linnaeus, 1766)",aulopiformes,grinners,fish,demersal
TAUTOGA.ONITIS,TAUTOGA ONITIS,31,19,177,170479,TAUTOG,"(Linnaeus, 1758)",perciformes,perch like,fish,demersal
TAUTOGOLABRUS.ADSPERSUS,TAUTOGOLABRUS ADSPERSUS,34,34,176,170481,CUNNER,"(Walbaum, 1792)",perciformes,perch like,fish,demersal
TORPEDO.NOBILIANA,TORPEDO NOBILIANA,27,20,21,160834,ATLANTIC TORPEDO,"Bonaparte, 1835",torpedinformes,electric rays,fish,pelagic
